ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
3weGdWrlXcB3pcoctU1BDK,kopps,37,9601,"gauze pop, rochester ny indie",2014,2023,20,1,48670.0
0VknJnYYpXwsgmjqHMezqz,fascad,0,125,,2013,2024,11,2,155.0
6hnfcPN1HW0rRgism7S4NG,akademischer chor zürich,0,3,,-1,-1,0,0,20.0
4ZYfJQ4ifRU9q4zGCY9cLJ,when nothing remains,11,5905,"funeral doom, gothic doom, swedish doom metal",2012,2016,3,9,2180.0
0xJuAKhVgEfuiEXjyLEuC6,dennis bovell,30,15214,"dub, library music, reggae, roots reggae, uk dub, uk reggae",1976,2023,20,1,54432.0
0frKN9m9jNred9YvCELPak,do you swing,18,136,,-1,-1,0,0,16241.0
5x5VgmGJ2og6LvntyMpj89,mazarine bleu,0,1,,2012,2012,1,2,2.0
3mBIO37zQlxVCh5zgZAOCg,the evil queens,0,79,,2002,2007,4,9,21.0
7dl9xeD8jLQYMQyCfpK8TE,bmx bandits,16,7086,"c86, scottish indie, scottish new wave, scottish rock, tape club",1996,2024,20,4,6415.0
10Anll0eJzMrcQNmKxi6de,abraham linares,0,0,,-1,-1,0,0,0.0
4XKelmZJqRvbXw41iTADSc,john paul sharp,0,59,,2006,2019,20,13,14.0
1mEyivaWqpjwiYs3nBQYdg,tony maher,1,13,,2015,2015,1,20,129.0
2AMF8y2hNyoUtjLuyHZjDu,dj t-1000,8,2884,techno,2012,2023,20,3,2293.0
6QGQv2cGGbesFosEWQCIOI,martijn ten velden,29,1786,,2005,2019,17,6,56986.0
72XIwNjLZIULOvopYP0fgc,piotr lemańczyk,3,175,,2006,2021,14,1,338.0
75SWMujuj2rpVlCON25ZX6,hλlna,15,1638,,-1,-1,0,0,4938.0
0UqAPNk5Q7nLF2kb2b77DG,los trovadores,15,9909,"folklore argentino, polca paraguaya",1966,2022,17,1,4387.0
715n3fCNRpKN1dker3sIDZ,syztem,0,7,,2022,2023,4,1,5.0
